	sequence_id	Assembly	cluster_id
470	GCA_007671675.1	GCA_007671675.1	Psychrophiles
471	GCA_007991715.1	GCA_007991715.1	Thermophiles
472	GCA_007997305.1	GCA_007997305.1	Psychrophiles
473	GCA_008124605.1	GCA_008124605.1	Mesophiles
474	GCA_008931805.1	GCA_008931805.1	Psychrophiles
475	GCA_009183365.2	GCA_009183365.2	Mesophiles
476	GCA_009617755.1	GCA_009617755.1	Mesophiles
477	GCA_009729015.1	GCA_009729015.1	Hyperthermophiles
478	GCA_009729035.1	GCA_009729035.1	Thermophiles
479	GCA_009729055.1	GCA_009729055.1	Thermophiles
480	GCA_009729545.1	GCA_009729545.1	Hyperthermophiles
481	GCA_009735625.1	GCA_009735625.1	Thermophiles
482	GCA_009759685.1	GCA_009759685.1	Mesophiles
483	GCA_009791395.1	GCA_009791395.1	Mesophiles
484	GCA_009914725.1	GCA_009914725.1	Psychrophiles
485	GCA_010119195.1	GCA_010119195.1	Mesophiles
486	GCA_010119205.1	GCA_010119205.1	Mesophiles
487	GCA_010604095.1	GCA_010604095.1	Mesophiles
488	GCA_011049865.1	GCA_011049865.1	Psychrophiles
489	GCA_013282665.1	GCA_013282665.1	Mesophiles
490	GCA_013340765.1	GCA_013340765.1	Thermophiles
491	GCA_013343115.1	GCA_013343115.1	Mesophiles
492	GCA_013343295.1	GCA_013343295.1	Thermophiles
493	GCA_013388255.1	GCA_013388255.1	Thermophiles
494	GCA_013760845.1	GCA_013760845.1	Thermophiles
495	GCA_014196195.1	GCA_014196195.1	Thermophiles
496	GCA_014200405.1	GCA_014200405.1	Psychrophiles
497	GCA_014201585.1	GCA_014201585.1	Thermophiles
498	GCA_014635045.1	GCA_014635045.1	Mesophiles
499	GCA_014646555.1	GCA_014646555.1	Hyperthermophiles
500	GCA_014647115.1	GCA_014647115.1	Mesophiles
501	GCA_014647135.1	GCA_014647135.1	Mesophiles
502	GCA_014651955.1	GCA_014651955.1	Mesophiles
503	GCA_014784055.1	GCA_014784055.1	Psychrophiles
504	GCA_015163485.1	GCA_015163485.1	Hyperthermophiles
505	GCA_015223105.1	GCA_015223105.1	Psychrophiles
506	GCA_015276835.1	GCA_015276835.1	Mesophiles
507	GCA_016107535.1	GCA_016107535.1	Psychrophiles
508	GCA_016406305.1	GCA_016406305.1	Mesophiles
509	GCA_016406325.1	GCA_016406325.1	Mesophiles
510	GCA_017298635.1	GCA_017298635.1	Thermophiles
511	GCA_017310505.1	GCA_017310505.1	Thermophiles
512	GCA_017873335.1	GCA_017873335.1	Hyperthermophiles
513	GCA_017873625.1	GCA_017873625.1	Mesophiles
514	GCA_017873855.1	GCA_017873855.1	Mesophiles
515	GCA_017874375.1	GCA_017874375.1	Mesophiles
516	GCA_018228765.1	GCA_018228765.1	Mesophiles
517	GCA_018861005.1	GCA_018861005.1	Psychrophiles
518	GCA_019263745.1	GCA_019263745.1	Mesophiles
519	GCA_900079115.1	GCA_900079115.1	Hyperthermophiles
520	GCA_900095385.1	GCA_900095385.1	Mesophiles
521	GCA_900095815.1	GCA_900095815.1	Thermophiles
522	GCA_900095845.1	GCA_900095845.1	Mesophiles
523	GCA_900099915.1	GCA_900099915.1	Psychrophiles
524	GCA_900100875.1	GCA_900100875.1	Mesophiles
525	GCA_900101115.1	GCA_900101115.1	Psychrophiles
526	GCA_900101915.1	GCA_900101915.1	Psychrophiles
527	GCA_900102145.1	GCA_900102145.1	Thermophiles
528	GCA_900103715.1	GCA_900103715.1	Mesophiles
529	GCA_900103805.1	GCA_900103805.1	Psychrophiles
530	GCA_900104065.1	GCA_900104065.1	Mesophiles
531	GCA_900105965.1	GCA_900105965.1	Psychrophiles
532	GCA_900106645.1	GCA_900106645.1	Psychrophiles
533	GCA_900129575.1	GCA_900129575.1	Psychrophiles
534	GCA_900106945.1	GCA_900106945.1	Mesophiles
535	GCA_900107035.1	GCA_900107035.1	Thermophiles
536	GCA_900107635.1	GCA_900107635.1	Psychrophiles
537	GCA_900108015.1	GCA_900108015.1	Psychrophiles
538	GCA_900110125.1	GCA_900110125.1	Psychrophiles
539	GCA_900110375.1	GCA_900110375.1	Psychrophiles
540	GCA_900110455.1	GCA_900110455.1	Mesophiles
541	GCA_900110465.1	GCA_900110465.1	Mesophiles
542	GCA_900110865.1	GCA_900110865.1	Mesophiles
543	GCA_900111075.1	GCA_900111075.1	Psychrophiles
544	GCA_900111485.1	GCA_900111485.1	Thermophiles
545	GCA_900111555.1	GCA_900111555.1	Mesophiles
546	GCA_900111795.1	GCA_900111795.1	Thermophiles
547	GCA_900111865.1	GCA_900111865.1	Thermophiles
548	GCA_900111935.1	GCA_900111935.1	Mesophiles
549	GCA_900112175.1	GCA_900112175.1	Thermophiles
550	GCA_900112975.1	GCA_900112975.1	Psychrophiles
551	GCA_900114435.1	GCA_900114435.1	Mesophiles
552	GCA_900114835.1	GCA_900114835.1	Mesophiles
553	GCA_900116205.1	GCA_900116205.1	Mesophiles
554	GCA_900116805.1	GCA_900116805.1	Thermophiles
555	GCA_900129115.1	GCA_900129115.1	Thermophiles
556	GCA_900129585.1	GCA_900129585.1	Psychrophiles
557	GCA_900142255.1	GCA_900142255.1	Thermophiles
558	GCA_900142385.1	GCA_900142385.1	Psychrophiles
559	GCA_900142415.1	GCA_900142415.1	Thermophiles
560	GCA_900142435.1	GCA_900142435.1	Thermophiles
561	GCA_900142695.1	GCA_900142695.1	Psychrophiles
562	GCA_900142885.1	GCA_900142885.1	Psychrophiles
563	GCA_900143245.1	GCA_900143245.1	Psychrophiles
564	GCA_900156405.1	GCA_900156405.1	Psychrophiles
565	GCA_900156755.1	GCA_900156755.1	Thermophiles
566	GCA_900162825.1	GCA_900162825.1	Psychrophiles
567	GCA_900166965.1	GCA_900166965.1	Psychrophiles
568	GCA_900166975.1	GCA_900166975.1	Psychrophiles
569	GCA_900176005.1	GCA_900176005.1	Thermophiles
570	GCA_900176145.1	GCA_900176145.1	Thermophiles
571	GCA_900176435.1	GCA_900176435.1	Thermophiles
572	GCA_900182635.1	GCA_900182635.1	Mesophiles
573	GCA_900186985.1	GCA_900186985.1	Mesophiles
574	GCA_900187025.1	GCA_900187025.1	Mesophiles
575	GCA_900188065.1	GCA_900188065.1	Mesophiles
576	GCA_900198835.1	GCA_900198835.1	Hyperthermophiles
577	GCA_900215215.1	GCA_900215215.1	Thermophiles
578	GCA_900215575.1	GCA_900215575.1	Mesophiles
579	GCA_900456975.1	GCA_900456975.1	Psychrophiles
580	GCA_900458435.1	GCA_900458435.1	Mesophiles
581	GCA_900458565.1	GCA_900458565.1	Mesophiles
582	GCA_900465055.1	GCA_900465055.1	Psychrophiles
583	GCA_900475595.1	GCA_900475595.1	Mesophiles
584	GCA_900636325.1	GCA_900636325.1	Mesophiles
585	GCA_900636385.1	GCA_900636385.1	Mesophiles
586	GCA_904846075.1	GCA_904846075.1	Psychrophiles
587	GCA_904846145.1	GCA_904846145.1	Psychrophiles
588	GCA_904846175.1	GCA_904846175.1	Psychrophiles
589	GCA_904846185.1	GCA_904846185.1	Psychrophiles
590	GCA_904846215.1	GCA_904846215.1	Psychrophiles
591	GCA_904846225.1	GCA_904846225.1	Psychrophiles
592	GCA_904846235.1	GCA_904846235.1	Psychrophiles
593	GCA_904846265.1	GCA_904846265.1	Psychrophiles
594	GCA_904846285.1	GCA_904846285.1	Psychrophiles
595	GCA_904846415.1	GCA_904846415.1	Psychrophiles
596	GCA_904846675.1	GCA_904846675.1	Psychrophiles
597	GCA_904846695.1	GCA_904846695.1	Psychrophiles
